Date,Close
2010-01-04,1135.6
2010-01-05,1134.6
2010-01-06,1139.6
2010-01-07,1144.15
2010-01-08,1144.05
2010-01-11,1137.0
2010-01-12,1143.65
2010-01-13,1142.25
2010-01-14,1148.2
2010-01-15,1207.05
2010-01-18,1236.25
2010-01-19,1221.25
2010-01-20,1186.2
2010-01-21,1150.15
2010-01-22,1170.75
2010-01-25,1154.7
2010-01-27,1058.6
2010-01-28,1039.3
2010-01-29,1068.95
2010-02-01,1140.1
2010-02-02,1107.95
2010-02-03,1118.8
2010-02-04,1090.3
2010-02-05,1070.45
2010-02-06,1080.4
2010-02-08,1095.65
2010-02-09,1109.0
2010-02-10,1095.45
2010-02-11,1120.55
2010-02-15,1139.65
2010-02-16,1137.9
2010-02-17,1142.75
2010-02-18,1131.0
2010-02-19,1116.4
2010-02-22,1094.0
2010-02-23,1065.0
2010-02-24,1046.45
2010-02-25,1011.15
2010-02-26,1013.55
2010-03-02,1042.0
2010-03-03,1035.85
2010-03-04,1048.9
2010-03-05,1064.3
2010-03-08,1069.8
2010-03-09,1063.75
2010-03-10,1059.55
2010-03-11,1044.85
2010-03-12,1036.15
2010-03-15,1019.55
2010-03-16,1029.2
2010-03-17,1038.85
2010-03-18,1049.25
2010-03-19,1063.1
2010-03-22,1050.2
2010-03-23,1045.1
2010-03-25,1033.85
2010-03-26,1050.45
2010-03-29,1057.6
2010-03-30,1047.95
2010-03-31,1049.6
2010-04-01,1059.0
2010-04-05,1064.15
2010-04-06,1087.85
2010-04-07,1076.45
2010-04-08,1069.6
2010-04-09,1077.05
2010-04-12,1081.3
2010-04-13,1074.65
2010-04-15,1067.45
2010-04-16,1046.3
2010-04-19,1036.45
2010-04-20,1038.55
2010-04-21,1031.25
2010-04-22,1025.6
2010-04-23,1032.95
2010-04-26,1050.4
2010-04-27,1050.9
2010-04-28,1047.05
2010-04-29,1049.4
2010-04-30,1048.05
2010-05-03,1038.05
2010-05-04,1026.7
2010-05-05,1012.2
2010-05-06,1014.85
2010-05-07,988.25
2010-05-10,1006.5
2010-05-11,995.2
2010-05-12,995.0
2010-05-13,1009.4
2010-05-14,1005.05
2010-05-17,1002.65
2010-05-18,1048.6
2010-05-19,984.85
2010-05-20,991.05
2010-05-21,995.4
2010-05-24,999.5
2010-05-25,975.7
2010-05-26,976.7
2010-05-27,963.9
2010-05-28,981.3
2010-05-31,970.55
2010-06-01,965.0
2010-06-02,968.25
2010-06-03,994.0
2010-06-04,1000.55
2010-06-07,978.05
2010-06-08,996.75
2010-06-09,996.95
2010-06-10,999.3
2010-06-11,1001.15
2010-06-14,1013.7
2010-06-15,1011.55
2010-06-16,1010.4
2010-06-17,1013.75
2010-06-18,1021.85
2010-06-21,1036.35
2010-06-22,1021.2
2010-06-23,1027.5
2010-06-24,1003.7
2010-06-25,1008.95
2010-06-28,1010.2
2010-06-29,998.3
2010-06-30,1000.6
2010-07-01,995.0
2010-07-02,1000.2
2010-07-05,984.4
2010-07-06,996.4
2010-07-07,1002.15
2010-07-08,999.35
2010-07-09,1001.25
2010-07-12,999.25
2010-07-13,996.2
2010-07-14,1014.25
2010-07-15,1018.2
2010-07-16,1003.95
2010-07-19,1020.35
2010-07-20,1021.25
2010-07-21,1033.5
2010-07-22,1028.15
2010-07-23,1020.55
2010-07-26,1017.5
2010-07-27,1014.65
2010-07-28,1014.1
2010-07-29,1008.4
2010-07-30,1015.95
2010-08-02,1030.95
2010-08-03,1027.05
2010-08-04,1026.15
2010-08-05,1025.45
2010-08-06,1013.65
2010-08-09,1010.7
2010-08-10,1005.6
2010-08-11,995.8
2010-08-12,992.05
2010-08-13,1009.2
2010-08-16,1009.9
2010-08-17,1016.0
2010-08-18,1019.1
2010-08-19,1022.45
2010-08-20,1020.3
2010-08-23,1021.15
2010-08-24,1020.45
2010-08-25,1022.1
2010-08-26,1002.35
2010-08-27,1004.05
2010-08-30,1009.3
2010-08-31,1009.0
2010-09-01,1013.15
